date,B,BF,CL,CN,C,DD,F,GS,HFA,L,LS,M,MI,MC,MTF,OO,SC,SB,SF,W,SiteId
2015-05-28,2,0,0,174,0,0,19,0,0,0,0,2,21,1,3,0,0,0,0,0,88
2015-08-21,6,0,3,39,0,0,603,0,0,0,0,1,3,1,0,0,0,0,0,1,88
2015-11-03,0,0,2,13,0,0,174,0,0,0,2,0,12,0,0,0,0,0,0,1,88
2016-11-02,5,0,0,120,0,0,245,0,0,0,1,1,9,2,0,0,0,0,0,0,88
2015-03-03,2,199,0,47,0,0,0,0,4,0,0,7,54,12,3,0,0,0,105,0,89
2015-05-28,5,0,0,91,0,0,0,0,4,0,0,26,118,61,0,0,0,0,24,1,89
2015-08-13,6,15,0,140,1,0,0,0,0,0,0,14,3,12,3,1,0,0,11,1,89
2015-11-16,13,60,0,56,0,0,0,0,5,0,0,7,8,6,0,0,0,0,52,0,89
2016-11-02,5,36,0,89,0,0,0,0,1,0,0,9,2,23,4,0,0,0,96,1,89
2016-09-02,48,0,0,83,0,2,0,0,9,2,0,51,0,15,3,0,0,0,24,3,90
2016-05-01,7,2,0,12,0,4,0,0,0,0,0,41,188,2,1,0,0,0,4,2,91
2016-11-25,9,0,3,48,0,0,3,0,1,0,0,60,4,70,0,0,0,0,2,5,91
2015-08-29,5,0,10,347,0,4,7,0,0,0,2,4,25,73,0,0,0,0,0,3,92
2016-04-16,2,32,1,1,0,0,0,0,0,0,1,0,244,0,0,0,0,0,0,8,92
2016-09-10,0,0,1,87,0,1,1,0,0,0,0,3,112,78,2,1,0,0,0,19,92
2016-11-26,1,0,0,206,0,2,0,0,0,0,2,0,20,2,1,0,0,0,0,7,92
